President,Model Used,Timestamp,Term,Date of Birth,Age at Inauguration,Age at exit from office,Date of Death,Age at Death,Prior Gov Experience,Prior Political Experience,Military Service,Religion
William H. Seward,gpt-4,2024-07-15 22:13:11,"1839-12-31 to 1842-12-31
",1801-05-16,42,43,1872-10-10,71,New York State Senator,New York State Senator,No,Episcopalian
Washington Hunt,gpt-4,2024-07-15 22:13:18,1851-01-01 to 1852-12-31,1811-08-05,39,39,1867-02-02,49,U.S. Representative from New York,U.S. Representative from New York,No,Presbyterian
Horatio Seymour,gpt-4,2024-07-15 22:13:26,"January 1, 1853 – December 31, 1854 and January 1, 1863 – December 31, 1864",1810-05-31,49,49,1886-02-12,70,"Mayor of Utica, New York","Mayor of Utica, New York",No,Episcopalian
Myron H. Clark,gpt-4,2024-07-15 22:13:33,1855-01-01 to 1856-12-31,1806-10-23,47,50,1892-08-23,68,New York State Senator,New York State Senator,No,Presbyterian
John A. King,gpt-4,2024-07-15 22:13:47,1857-01-01 to 1859-12-31,1788-01-03,"Sorry, I can't provide the information because the birth date of John A. King, Governor of New York, is not precisely provided. He was born in 1788 and became a governor in 1857, but without knowing the exact dates, a precise age at inauguration can't be calculated.",54,"I'm sorry, but without additional details about which John A. King you're referring to, I'm unable to provide the information. There are numerous individuals with that name across different fields and periods of history. Could you please provide more details such as their profession, or the particular field or location they are associated with?","Sorry, can you provide more specific information? Several people named John A. King are registered historically and current records do not provide enough details.",Lieutenant Governor of New York,New York State Comptroller,"No, John A. King did not serve in the military prior to becoming Governor.",Episcopalian
Edwin D. Morgan,gpt-4,2024-07-15 22:13:54,1863-01-01 to 1865-12-31,1811-02-08,51,52,1883-02-14,72,U.S. Senator from New York,U.S. Senator from New York,No,Presbyterian
Reuben E. Fenton,gpt-4,2024-07-15 22:14:01,1865-01-01 to 1869-12-31,1819-07-04,45,43,1891-08-25,69,U.S. Representative from New York,U.S. Representative from New York,No,Presbyterian
John T. Hoffman,gpt-4,2024-07-15 22:14:09,1869-01-01 to 1872-12-31,1828-01-10,44,38,1888-03-24,64,Mayor of New York City,Mayor of New York City,No,Episcopalian
Samuel J. Tilden,gpt-4,2024-07-15 22:14:16,"January 1, 1875 to December 31, 1876",1814-02-09,63,56,1886-08-04,72,"New York State Assemblyman
",Member of the New York State Assembly,No,Episcopalian
Lucius Robinson,gpt-4,2024-07-15 22:14:36,1890-01-01 to 1892-12-31,"Lucius Robinson was born on November 4, 1810. So, the date in the requested format would be: 1810-11-04.","I'm sorry, but I couldn't find any information on Lucius Robinson's age at inauguration as Governor. Please provide further details.","As an AI, I don't have real-time access to personal profiles unless the data about Lucius Robinson is publicly available and has been shared before. Moreover, many people named Lucius Robinson come up in the search and it's not clear which one specifically you are referring to. I would need some more information to provide an accurate answer.","I'm sorry, but I can't provide the information you're looking for because I can't find any information on a person named Lucius Robinson. The person could be relatively unknown, or it's possible that the spelling is incorrect.","I'm sorry, but I can't provide the information you're looking for because there isn't sufficient contextual information about which Lucius Robinson you're referring to. There have been numerous people by that name throughout history. Please provide more information.","Apologies, but there doesn't seem to be information available about an individual named Lucius Robinson who has held specific government roles. Could you provide additional details?","Sorry, but we don't have any information available about Lucius Robinson's political role before becoming Governor.","As an AI, I don't have real-time or specific personal access to all individuals' information. However, I can't find any specific reference about a person named Lucius Robinson serving in the military prior to becoming a Governor. Please verify the details or provide additional information.","Sorry, I can't provide information as there's no widely recognized individual named Lucius Robinson associated with a specific religion. Could you please provide more context or check the name?"
Alonzo B. Cornell,gpt-4,2024-07-15 22:14:45,1880-01-01 to 1882-12-31,1832-01-22,46,57,1904-10-15,67,Speaker of the New York State Assembly,Speaker of the New York State Assembly,No.,Episcopalian
Grover Cleveland,gpt-4,2024-07-15 22:14:52,1883-01-01 to 1885-01-01,1837-03-18,55,43,1908-06-24,71,"Mayor of Buffalo, New York","Sheriff of Erie County, New York",No,Presbyterian
David B. Hill,gpt-4,2024-07-15 22:14:59,1885-01-01 to 1891-12-31,1843-08-29,36,44,1910-10-20,70,Lieutenant Governor of New York,Lieutenant Governor of New York,No,Episcopalian
Levi P. Morton,gpt-4,2024-07-15 22:15:06,1895-01-01 to 1896-12-31,1824-05-16,67,72,1920-05-16,96,Vice President of the United States,Vice President of the United States,No,Episcopalian
Roswell P. Flower,gpt-4,2024-07-15 22:15:13,1892-01-01 to 1894-12-31,1835-08-07,59,62,1899-05-12,59,U.S. Representative from New York,United States Representative from New York,No,Episcopalian
Frank S. Black,gpt-4,2024-07-15 22:15:20,1897-01-01 to 1898-12-31,1853-03-08,42,55,1913-03-22,60,U.S. Representative from New York,Member of the U.S. House of Representatives from New York's 19th district,No,Presbyterian
Theodore Roosevelt,gpt-4,2024-07-15 22:15:28,1899-12-31 to 1900-12-31,1858-10-27,40,42,1919-01-06,60,Assistant Secretary of the Navy,Assistant Secretary of the Navy,Yes,Episcopalian
Benjamin B. Odell Jr.,gpt-4,2024-07-15 22:15:34,1901-01-01 to 1904-12-31,1854-01-14,47,47,1926-05-09,67,Member of the U.S. House of Representatives,United States Representative from New York,No.,Protestant
Charles Evans Hughes,gpt-4,2024-07-15 22:15:41,1907-01-01 to 1910-01-01,1862-04-11,50,59,1948-08-27,86,Chief Justice of the Supreme Court,Associate Justice of the U.S. Supreme Court,No,Presbyterian
Horace White,gpt-4,2024-07-15 22:15:48,1910-12-31 to 1912-12-31,1865-10-07,55,47,1916-09-16,83,Lieutenant Governor of New York,Secretary of State of New York,No,Quaker
John Alden Dix,gpt-4,2024-07-15 22:15:55,1911-01-01 to 1913-01-01,1860-12-25,51,57,1928-04-26,66,New York State Treasurer,Secretary of State of New York,No,Episcopalian
William Sulzer,gpt-4,2024-07-15 22:16:03,1913-01-01 to 1913-10-17,1863-03-18,50,46,1941-11-06,78,U.S. Representative from New York,Member of the U.S. House of Representatives from New York.,No,Episcopalian
Martin H. Glynn,gpt-4,2024-07-15 22:16:10,1913-01-01 to 1914-12-31,1871-09-27,42,43,1924-12-14,63,Comptroller of New York State,U.S. Representative from New York,No,Catholic
Charles S. Whitman,gpt-4,2024-07-15 22:16:17,1915-01-01 to 1918-12-31,1868-09-29,48,48,1947-03-29,70,New York County District Attorney,District Attorney of New York County,No,Episcopal
Alfred E. Smith,gpt-4,2024-07-15 22:16:23,"January 1, 1923 to December 31, 1928",1873-12-30,54,54,1944-10-04,70,Sheriff of New York County,Sheriff of New York County,No,Catholic
Franklin D. Roosevelt,gpt-4,2024-07-15 22:16:32,1929-01-01 to 1932-12-31,1882-01-30,56,50,1945-04-12,63,Assistant Secretary of the Navy,Assistant Secretary of the Navy,No,Episcopalian
Herbert H. Lehman,gpt-4,2024-07-15 22:16:38,1933-01-01 to 1942-12-03,1878-03-28,57,71,1963-12-05,85,Lieutenant Governor of New York,U.S. Senator from New York,No,Jewish
Charles Poletti,gpt-4,2024-07-15 22:16:46,1942-12-03 to 1943-12-31,1903-07-02,39,39,2002-08-08,99,Lieutenant Governor of New York,Lieutenant Governor of New York,No,Catholic
Thomas E. Dewey,gpt-4,2024-07-15 22:16:54,1943-12-31 to 1954-12-31,1902-03-24,47,56,1971-03-16,68,District Attorney for Manhattan,"District Attorney for Manhattan, New York",No,Episcopalian
W. Averell Harriman,gpt-4,2024-07-15 22:17:02,1955-01-01 to 1958-12-31,1891-11-15,64,65,1986-07-26,94,"U.S. Ambassador to the Soviet Union
",U.S. Ambassador to the Soviet Union,No,"Episcopalian
"
Nelson Rockefeller,gpt-4,2024-07-15 22:17:11,1959-01-01 to 1973-12-18,1908-07-08,51,60,1979-01-26,70,"Under Secretary of Health, Education, and Welfare",Vice President of the United States,No,Presbyterian
Malcolm Wilson,gpt-4,2024-07-15 22:17:19,1973-12-18 to 1974-12-31,1914-02-26,60,61,2000-03-13,86,Lieutenant Governor of New York,Lieutenant Governor of New York,No,Protestant
Hugh Carey,gpt-4,2024-07-15 22:17:26,1975-01-01 to 1982-12-31,1919-04-11,55,53,2011-08-07,92,U.S. Representative from New York,U.S. Representative from New York,Yes,Catholic
Mario Cuomo,gpt-4,2024-07-15 22:17:32,1983-01-01 to 1994-12-31,1932-06-15,52,63,2015-01-01,82,Secretary of State of New York,Secretary of State of New York,No,Catholic
George Pataki,gpt-4,2024-07-15 22:17:42,1995-01-01 to 2006-12-31,1945-06-24,49,61,"As of my last update, former New York Governor George Pataki is still alive. It's important to verify this from a reliable source, as my data might not be up-to-date.","As of my knowledge up to 2022, George Pataki is still alive.","Mayor of Peekskill, New York","Mayor of Peekskill, New York.",No,Roman Catholic
Eliot Spitzer,gpt-4,2024-07-15 22:17:50,2007-01-01 to 2008-03-17,1959-06-10,48,48,"As of now, Eliot Spitzer is still alive.","As of my information last updated in 2022, Eliot Spitzer is still alive.",Attorney General of New York,Attorney General of New York,No,Judaism
David Paterson,gpt-4,2024-07-15 22:17:59,2008-03-17 to 2010-12-31,1954-05-20,53,56,"As of my latest update, David Paterson is still alive and therefore a date of death is not available.","As of my knowledge updated to September 2021, David Paterson is still alive.",Lieutenant Governor of New York,Lieutenant Governor of New York,No,Baptist
Andrew Cuomo,gpt-4,2024-07-15 22:18:07,2011-01-01 to 2021-08-23,1957-12-06,53,63,"As of my last update, Andrew Cuomo is still alive.","As of my knowledge up to March 1, 2023, Andrew Cuomo is alive and therefore his age at death cannot be provided.",Attorney General of New York,Attorney General of New York,No,Catholic
 on August 24, 2021, following the resignation of Andrew Cuomo. Her age at the time of leaving office is still unknown.","As of my last update, Kathy Hochul is alive and serving as the Governor of New York. I don't have any information on her date of death.","As of the last update, Kathy Hochul is still alive. Therefore, I can't provide an age at death.",Lieutenant Governor of New York,Lieutenant Governor of New York,No.,Catholic
